work,venue_year,representation_unit,context_dependence,view_construction,allocation,training_objective,inference,closest_overlap,remaining_distinction,source
TIGER,NeurIPS 2023,single hierarchical Semantic ID per item,no,content semantics,uniform one ID per item,RQ-VAE plus next-SID autoregressive likelihood,single encoder-decoder with constrained Semantic-ID generation,semantic identifiers and tail/cold-start generalization,no multi-view aliases or item-level path aggregation,https://papers.nips.cc/paper_files/paper/2023/file/20dcab0f14046a5c6b02b61da9f13229-Paper-Conference.pdf
GRAM,ACL 2025,single lexicalized hierarchical ID plus item text,no,semantic hierarchy plus lexical translation,uniform,next-ID generation plus multi-granular late fusion,single generator with late fusion,the project baseline and lexical hierarchy,no multiple valid output identifiers per item,https://aclanthology.org/2025.acl-long.1596/
MINDER,ACL 2023,multiple textual identifiers per passage,query-dependent retrieval but identifiers are passage-derived,synthetic query title substring,uniform multiple views,view-specific generative retrieval training,generated identifiers combined for holistic passage ranking,multi-view identifiers and entity-level combination,document retrieval rather than sequential recommendation and no starvation-adaptive allocation,https://aclanthology.org/2023.acl-long.366/
Better Generalization with Semantic IDs,RecSys 2024,Semantic-ID subpieces as ranking features,no,content semantics,uniform,ranking objective with hashed subpieces,discriminative ranking model,long-tail generalization from Semantic-ID parts,not generative retrieval and no multiple output paths,https://arxiv.org/abs/2306.08121
CoST,RecSys 2024,single contrastively learned semantic code,no,content plus item relations,uniform,RQ-VAE reconstruction plus contrastive objective,single-code generative recommendation,behavior-aware tokenization,does not preserve multiple identifiers for one item,https://arxiv.org/abs/2404.14774
LETTER,CIKM 2024,single learned hierarchical identifier,no,semantics plus collaborative signals,uniform,RQ-VAE regularization plus collaborative diversity and ranking-guided losses,single identifier generation,learnable behavior-aware tokenizer,does not retain multiple valid identifiers per item,https://doi.org/10.1145/3627673.3679569
EAGER,KDD 2024,behavior tokens and semantic tokens in two streams,user history conditions both decoders,behavior plus semantics,uniform,stream losses plus contrastive and transfer objectives,shared encoder with two decoders and confidence fusion,complementary semantic and behavioral views,not a single decoder and not alias-to-item marginalization,https://arxiv.org/abs/2406.14017
ActionPiece,ICML 2025,contextually composed action token pieces,local sequence context,feature sets plus within/across-action co-occurrence,uniform vocabulary construction,next-token learning plus set permutation regularization,single generative model with context-derived segmentation,context-aware tokenization,does not define multiple item aliases aggregated to one item,https://proceedings.mlr.press/v267/hou25f.html
RPG,KDD 2025,long unordered Semantic ID,no,semantic codes,uniform,independent multi-token prediction,parallel prediction plus graph-guided valid decoding,identifier expressiveness and efficient decoding,no multiple alternative paths per item or starvation targeting,https://arxiv.org/abs/2506.05781
LOHRec,Findings EMNLP 2025,quantized hierarchical identifier,user history conditions recommendation not tokenizer,semantic hierarchy,uniform,order and hierarchy aware learning plus optional LLM preference alignment,lightweight generative recommender,hierarchy-aware ranking objective,no adaptive multi-identifier allocation,https://aclanthology.org/2025.findings-emnlp.977/
MTGRec,SIGIR 2025,multiple identifiers per item during pre-training,no; identifiers come from adjacent tokenizer checkpoints,multiple semantically related tokenizer checkpoints,uniform multiple identifiers for all items,curriculum sampling across identifier data groups then single-tokenizer fine-tuning,single identifier at deployment,multiple identifiers and long-tail-oriented pre-training,does not keep multiple identifiers at inference or aggregate item probability,https://arxiv.org/abs/2504.04400
Pctx,ICLR 2026 submission / arXiv preprint,multiple personalized Semantic IDs per item,yes; full user history selects interpretation,content plus personalized context,variable identifiers proportional to context frequency with rare-ID merging,next-token training plus alternative-ID data augmentation,single autoregressive model; beam paths for the same item have probabilities aggregated to item,multiple context-dependent valid IDs and item-level probability aggregation,does not allocate specifically by candidate starvation or study fixed-50 tail recovery but substantially covers CAMI core mechanism,https://arxiv.org/abs/2510.21276
PIT,2026 arXiv preprint,multiple dynamic valid SIDs per item,yes; collaborative signals and user-guided selection,multimodal plus collaborative,uniform beam-index capacity per item,user-guided minimum-loss SID selection with co-evolution,single User-to-Token generator plus dynamic many-SID-to-one-item index,multiple valid IDs and inverse item mapping,uses minimum-loss selection rather than path-sum marginalization and targets streaming stability rather than fixed-budget tail recovery,https://arxiv.org/abs/2602.08530
