idx	offset	gold	pred	scores
AXHPRJ7IHD26P	4	dinosaur imagine apasaurus1	drawingcra lamp zoomillustrating||sports educationgan dome189||dinosaur imagine apasaurus1||drawing color inspiration 04inclusiv||sports blast elitetalator||craftsdesign stencil manal1||sports educationganur maker||sports journalancy wildlifecular||drawingcra crayon152la||craftsdesign stencil manal0||dinosaur imagine apasaurus0||sports education bloc501plan||drawing paint watercoloroutlineseze1||dinosaur dinurca 54||dinosaur dragon strongest allowed knight||sports uncle cricket camp lantern||vehicles galaxymboju auto||animals ses everyday gun street||ney castle fairypos mari0||sports party cakeweglow||sports journalancy underwater science||cars charge rebound stunt charger1||building buildcolstead pine||pretend dress alien parasit 51||cars charge rebound stunt charger0||sports blast elite hailfire||musical pianopin keyboard instruments||sports journalancy gaz science||dinosaur dinggertre 55||sports circuitpeak transistor electrical||drawing paint watercoloroutlineseze0||game board shapevarying diverse||melis drawing52 35||puzzle floor235mbo 54||leappad tabletexplorer 36||puzzleball zodi 1919270||sports scienceologistforensic investigations||drawingcra 04 markerbrush||sports rocket basketball poof||sports educationgan29tri||leapexplorertique bow surprise||drawingla lap deskoodle||sports uncle fireworkslton mi||animals fur132 teaby||puzzleburger rave demands completion4||sports education doughcycl candy||sports science energy heaterdelve||game board carrot holes bun||game board snail pace race||building trekuri miss command	-0.487128347158432||-0.5635852217674255||-0.6219494938850403||-0.6332600712776184||-0.634647786617279||-0.658043384552002||-0.6605984568595886||-0.6684018969535828||-0.6943364143371582||-0.6945585012435913||-0.7063916325569153||-0.7110516428947449||-0.729773223400116||-0.7467372417449951||-0.7920121550559998||-0.8075934052467346||-0.8089756965637207||-0.8163384795188904||-0.8166126608848572||-0.8190090656280518||-0.8201816082000732||-0.82176673412323||-0.8250746726989746||-0.8259398937225342||-0.829029381275177||-0.8365406394004822||-0.8451099991798401||-0.8534907698631287||-0.8585227131843567||-0.8586061596870422||-0.8613713383674622||-0.8632120490074158||-0.8693020343780518||-0.8694067001342773||-0.8704797625541687||-0.8705807328224182||-0.871086835861206||-0.8744407296180725||-0.8831579685211182||-0.8943659663200378||-0.8951212763786316||-0.895254909992218||-0.9001467823982239||-0.906274139881134||-0.9091431498527527||-0.912864625453949||-0.9153499007225037||-0.9159483909606934||-0.9168574213981628||-0.9169246554374695
A3G51YFJ29PZ79	4	drawing wonder markerslacra	melis flower264 floral||water step naturally debris playful||baby fishpop din lively||animals ses grover 360||trainmas quarry cargo deposits||cars lightning wheeliesmiss||wagon sportsball82batting||wagon sports basketballcore197||water stepwheel elevated boats||vehicles airplane1.9 bitspart||wagon tri plasmacar 38||pretend dress encompass spectrum importantly||set talk 2011 people17||baby fishtouch bubble refill||leap writecri accuracy writing||game card cards mould revisit||vehicles rocket airplane greenhouse emissions||pretend kitchen vintagematerial feast||set wheel peoplezig standalone||pretend toolcker stays230||mel puzzle chunk beneathpainted4||waterandmill dump truck||wagon cozy coupeannisay||pretend kitchen espressotown daily||set wheelusementoop loop||wagon sports baseballballwall||babytechsley117 spring||leappad tabletexplorer 36||babysko baseball score swing||mel sort clock past timely||pretend cash register calculator grocery||leappad tablet case systems||set wheelway ramp people||sports rocketmp assistant air||pretend tea approved drink contain||mel sunny tea butterflyparty||sports education bloclib5.2||set people basketball sports 52||wagon cozy pickupworking truck||doll baby bottles juice milk||wagon swing sun canopy infant||mel sunny sprinkle bouquet bloom||wagon swing adventures climbtik||water pool pools recreation chamber||mel stickers habitatreusable oasis||waterand sie beach shove||water beach balls inflatable assortment||drawing crayonularang wax||mel puzzle chunk beneathpainted2||pretend cash register transactionsrecognizing	-0.5550863146781921||-0.6384918093681335||-0.6818270087242126||-0.685737669467926||-0.687316358089447||-0.7045242190361023||-0.7229800820350647||-0.7482275366783142||-0.7562256455421448||-0.7644206881523132||-0.797955334186554||-0.8361493945121765||-0.8472341895103455||-0.8704633712768555||-0.8811812400817871||-0.8996164202690125||-0.9182893633842468||-0.9232645034790039||-0.9250729084014893||-0.9314226508140564||-0.9316377639770508||-0.9478759765625||-0.9497005939483643||-0.9502459168434143||-0.9549212455749512||-0.9551360607147217||-0.9559255242347717||-0.9577880501747131||-0.972385823726654||-0.9742980003356934||-0.9788856506347656||-0.9810582995414734||-0.9849945902824402||-0.9864131808280945||-0.991132915019989||-0.9986905455589294||-1.001205563545227||-1.007341742515564||-1.0166393518447876||-1.0212665796279907||-1.021574854850769||-1.0222113132476807||-1.0233972072601318||-1.0265711545944214||-1.0266886949539185||-1.031031847000122||-1.0351749658584595||-1.0484731197357178||-1.0505374670028687||-1.057267665863037
A227CGLBVAEMWB	4	mel magnetic dressmmup	cars solar salt fuelwater||train railway captain188 approximately||water pool umbrella shade funnel||mel puzzle chunk beneathpainted4||mel puzzle differentiation latch craftsmanship||mel wooden carrier44 17||vehicles airplane1.9 bitspart||mel blocks opportunityconstructing laws||drawing crayonularang wax||leaprog font groove musical0||melis crayon organize pleasure||dinosaursortedsaurusphal0||mel puzzle sixteen spell words||building letters individuals magnet660||mel magnetic dressmmup||pretend cash register transactionsrecognizing||dinosaursortedsaurusphal1||vehiclesjohn dump truck159||vehicles air swimmer clownfish||mel puzzle generous newlydesigned||angry birdsincredibly authentic downloaded5||mel blocks2014.5 placed0||building le25016605||vehicles cater catwheelscale||mel puzzle wire organizingstoring||pretend tea approved drink contain||mel magnetic fishingdesigned artwork||mel puzzle tremendous replicate beginner||puzzleburgerchan forestted||mel blocks2014.5 placed1||mel puzzle chunk beneathpainted2||building resources bear topic eure||melhouse castle balconbridge||angry birdsincredibly authentic downloaded7||mel blocks lots staplestacked||building marble transparent visually 48||dinosaur safari breathtaking priced pride4||mel sort clock past timely||building resources goat farm goose||mel magnetic magnet behaviors chart||mel puzzle chunk beneathpainted0||leappad tablet case systems||dinosaur safari breathtaking priced pride3||pretend cash register calculator grocery||puzzleplex ma plasmaze||mel puzzle wire rack twelve||sports science crystal scientists acids||mel puzzle chunk beneathpainted3||mel puzzle chunk thick neat||mel puzzle chunk beneathpainted5	-0.39309874176979065||-0.5420829653739929||-0.7634724974632263||-0.843239963054657||-0.8520569801330566||-0.8824961185455322||-0.8845303654670715||-0.8872008919715881||-0.8883635401725769||-0.8918198347091675||-0.8964650630950928||-0.9005516767501831||-0.9047906398773193||-0.9076650142669678||-0.9099151492118835||-0.9161902070045471||-0.9190921783447266||-0.919964075088501||-0.9207382798194885||-0.9242982268333435||-0.9265953302383423||-0.9277944564819336||-0.9398358464241028||-0.9482991695404053||-0.9552890658378601||-0.9599387645721436||-0.9754330515861511||-0.9770837426185608||-0.9792194962501526||-0.981207549571991||-0.9817303419113159||-0.9830519556999207||-0.9893830418586731||-0.9946831464767456||-0.9957539439201355||-0.9982145428657532||-1.0020092725753784||-1.0052343606948853||-1.0068637132644653||-1.0080108642578125||-1.0083645582199097||-1.0088517665863037||-1.009658932685852||-1.0114229917526245||-1.012520670890808||-1.0242429971694946||-1.0371369123458862||-1.0389732122421265||-1.039638876914978||-1.040273904800415
A3HR0ZZOFKQ97N	4	sports education desk graph pine	leaprog amazon packaging vocabulary||puzzle floorburger rave demands2||leaprog table animalcruising||gamemonopol rent hotel hotels||vehicles remotemonopol empire 13.||puzzle floorburger rave demands1||puzzle floorburger rave demands0||sports education bloc501plan||musical pianopin keyboard instruments||doll alive wann walk mom||set mickey farm mouse||baby fishffegir tune||carsix stuntwaycker||wagon scooter2.2410 pillow||puzzlewhi pas revivalies0||game board cruchamele||animals ses everyday gun street||baby puppy feelings pal laugh||sports education bloc 1959 recon||baby fish gymnastics fantastic||puzzleburger000 africa 75||pretend kitchen retro feast6.7||animals furrealddle gig||drawingla lap deskoodle||baby phone monkeyivity app||buildingurickersta monkey||drawingcra 04 markerbrush||ney palace 4644 songs||puzzle conservburger rave conserve||set people happy57 home||drawingoodleseepad art||game card humanity horrible against||trainmaster quest castle38||building ale town busy cur||setpies87 nickel swim||carsix nano intersect crash||game boardbra casa grande||doll poll hang pocket house||vehicles bootshopper big din||puzzleburger case 1,000 couch||helicopterhog automated multiplayer single||animals ses gunackedites||set castleendramikgon||animals bear1.5 crawl turtle||drawing color bloom transformation customize||dinosaur safari babies38set||setpies bubble stage33||babysko elephantele ab||water poll zip vacation pocket||neyriel holiday princess season	-0.5399816036224365||-0.5789231061935425||-0.6148422956466675||-0.653737485408783||-0.6549448370933533||-0.6641300916671753||-0.6748043894767761||-0.6794517636299133||-0.6955645084381104||-0.7122830748558044||-0.716202437877655||-0.7346145510673523||-0.7385388016700745||-0.7489128112792969||-0.750310480594635||-0.7557518482208252||-0.7636928558349609||-0.7768082618713379||-0.7820544242858887||-0.7884810566902161||-0.8073289394378662||-0.8113700747489929||-0.8186830878257751||-0.8210031986236572||-0.8210476040840149||-0.8235156536102295||-0.8315680027008057||-0.8321346640586853||-0.8352632522583008||-0.8376760482788086||-0.8478817343711853||-0.8499760627746582||-0.8544933795928955||-0.8578807711601257||-0.859706699848175||-0.8651504516601562||-0.867534875869751||-0.8726382851600647||-0.8730490207672119||-0.8742658495903015||-0.8757176399230957||-0.878379762172699||-0.8870204091072083||-0.8870318531990051||-0.8925778865814209||-0.8946077823638916||-0.8979854583740234||-0.8991554379463196||-0.9001408219337463||-0.9011752009391785
A21AUG6HD6WMU7	4	mel stickerscompiled sticker topics0	leaprog sharing picnic basket||baby laugh house mailbox met||leaprog salsa drum march||baby laugh kitchentriggering discoveries||leaprogcou pal my||baby laugh sing opposite click||baby laugh kitchen soup stir||cars raceway zoomshift||water party favor lua tropical||doll babytellselling boy||drawingoodle stampdler erase||baby laugh table busy musical||building blocks squeeze10ten||musical drum pu instruments lime||baby laugh drillnch vis||leaprog font groove musical0||baby laugh mailbox parcel letters||drawingoodle screendler travel0||baby laugh soccer opposite counting||baby laughcan 4606||baby laugh crawltriggering veggie||building stack eggs gently crack||baby laugh vanity greeting textures||ney palace 4644 songs||drawingoodle screendler travel1||pretend tea approved drink contain||sports party cake candlepol1||set people medical doctor ordered||baby puppy 1,5 wentcake||building stack2011pour peek||wagon sports basketballcore197||baby fish crawl ball move||baby phone laptop screen initial||doll babytellach 27||mel blocks opportunityconstructing laws||baby laugh cookie1782||leaprog routine daily responses||baby laugh house discoveries speech||sports party cake candlepol0||baby ballsperorial busy||baby stackasta reflection sort||leap letter fontphonweight||buildingplo du165 55||baby laugh songs droplong||wagon ridewalkerpurpose walk||baby stack blocks sort bucket||mel food cuttingsliced fraction||drawingoodle pro screen travel||building tentassisting tunnel visibility||sports education bloclib5.2	-0.4960860013961792||-0.5114321112632751||-0.5999294519424438||-0.6237022280693054||-0.6309815049171448||-0.6585642099380493||-0.6837664246559143||-0.7054648399353027||-0.71352618932724||-0.7610340118408203||-0.7808132171630859||-0.785794734954834||-0.7967556118965149||-0.8063952326774597||-0.82347172498703||-0.8393585085868835||-0.8420195579528809||-0.852462887763977||-0.8699541687965393||-0.8815926909446716||-0.8833044171333313||-0.8908708095550537||-0.9006116390228271||-0.9008130431175232||-0.9098696112632751||-0.9283242225646973||-0.9421182870864868||-0.9446074962615967||-0.9455689787864685||-0.9528059959411621||-0.9633333683013916||-0.9687361717224121||-0.9687772393226624||-0.9690379500389099||-0.9769297242164612||-0.9779568314552307||-0.9787359833717346||-0.985863208770752||-0.9955158829689026||-0.9963378310203552||-0.997951328754425||-1.0001088380813599||-1.001475214958191||-1.0018669366836548||-1.0028897523880005||-1.006453037261963||-1.0083235502243042||-1.0111474990844727||-1.0117478370666504||-1.018022894859314
A3HIMCMETGILGK	4	leaprogcou pal my	baby laughquoonal quiz||baby laughggy picomparing0||baby fish crawl ball move||baby laugh sing opposite click||baby stack blocks sort bucket||leaprog font groove musical0||baby laugh table busy musical||baby ballsperorial busy||leaprogcou pal my||baby fish stroll lend nurturing||baby ballswinkel perennial ref||leaprog sharing picnic basket||mel sortpound benchnaming||baby ocean soothe glow sea||building blocks squeeze10ten||baby leap rhyme nurseryturn||baby stack classical plays 160||baby fishpop din lively||musical drum pu instruments lime||baby phone laptop screen initial||animalsrora carrier photo au||baby ballspin pop drop||baby puppy 1,5 wentcake||baby laughumble driver steering||mel puzzle differentiation latch craftsmanship||mel food groupsbal meal||baby teaching tea sharing please||vehicles truck dump61 15.||baby stackasta reflection sort||baby laugh sing soothing lantern||mel beads lac201 recommend1||baby stack blocks179 smiling||building stackspielholz rainbow||baby pull aspect plan intellectual||building ale2.9 early string||babysko pop presse switches||baby fishtouch bubble refill||baby phone conversation rewardingmili||mel blocks opportunityconstructing laws||baby bug flashlight speakstech||baby laugh words rhymebook||wagon sports basketballcore197||mel beads differentiation craftsmanship seller||building shapes circle sort stretching||baby balls bowl farm split||baby ses sillywind132||baby laugh kitchen soup stir||mel beads lac201 recommend0||building blocks6.1proplene||baby ballszi centershat	-0.41745343804359436||-0.5925566554069519||-0.599254310131073||-0.6563136577606201||-0.6791514754295349||-0.6797294616699219||-0.6969169974327087||-0.7003521919250488||-0.7100264430046082||-0.7181355953216553||-0.7226406931877136||-0.7506105899810791||-0.7531294822692871||-0.7538220286369324||-0.7594995498657227||-0.7865901589393616||-0.7903595566749573||-0.8024720549583435||-0.8114356398582458||-0.8156453967094421||-0.8269248604774475||-0.827171802520752||-0.8355264067649841||-0.8462281823158264||-0.8489218354225159||-0.8495590090751648||-0.8655681014060974||-0.8672516942024231||-0.8681855797767639||-0.8686444759368896||-0.871951162815094||-0.8731579780578613||-0.8740516304969788||-0.8749142289161682||-0.882179319858551||-0.8882887959480286||-0.8927868008613586||-0.9093402028083801||-0.9230546951293945||-0.945428192615509||-0.9480981826782227||-0.9489932060241699||-0.9559164047241211||-0.9637227058410645||-0.9650071263313293||-0.965366780757904||-0.9671276211738586||-0.9690120816230774||-0.9721620082855225||-0.9770211577415466
A2WQUUA4JM9ZK5	4	mel puzzlesawtrays playful	trainmas taken phrasesplay||train railwayjohnson luxurious||train track takenplayflex||train track tracks ascendcurved||trainmastermas steam 38||set bath captain packagemas||trainold takenharplay||train track bridge taken fold||train trackcurved straight tracks||animalsrora lovers kitten sugar||trainmaster crank4.5set||trainmas shedmouthtable||melis ease caregiver art||train taken enginestrain track||train track brands major right0||trainmas shaketh engine||train islanddinfer taken||trainmashenry taken||train track straightcurved tracks||water bathpears reap dirty||train whistle candle birthdaymas||buildingbin platesstation base||mel wooden carrier44 17||traintrack sections stabilizeduty||buildingbin174mat medium||buildingbinmat zip stellar||trainmas followth engineer||trainmaster trackized engines||train track brands major right1||mel sort clock past timely||train trackackpending patent||train takenharplaymas||angry birdsincredibly authentic downloaded5||train tableretrieved canyon intact||train trackcurved crossing straight||train whistle woodmas51||building le25016605||train railway eating spoon pleasant||trainmaslogging zoom zip||train taken col whlie||mel puzzle wire organizingstoring||water bathqui seaten||mel puzzlesawtrays playful||mel stickers habitatreusable oasis||drawing crayon bathtub visionla||trainmasmill flour barrel||mel puzzlesaw 48trays||building le plate farms towns||train track spiral takenplay||angry birdsincredibly authentic downloaded7	-0.5145094990730286||-0.5255609750747681||-0.6157829761505127||-0.6300492882728577||-0.6674003005027771||-0.6690829396247864||-0.6848558783531189||-0.709071934223175||-0.7394726276397705||-0.7843730449676514||-0.8038744330406189||-0.8123586773872375||-0.815056562423706||-0.8338005542755127||-0.8387802839279175||-0.8488792777061462||-0.8508469462394714||-0.8552752137184143||-0.8634997010231018||-0.87787264585495||-0.889604389667511||-0.8953845500946045||-0.9019703269004822||-0.9026045203208923||-0.9232094883918762||-0.9263277053833008||-0.9283161163330078||-0.9422376155853271||-0.9453331828117371||-0.9495968818664551||-0.9509642720222473||-0.9529469609260559||-0.9565564393997192||-0.9579155445098877||-0.9610114693641663||-0.9622071385383606||-0.9642908573150635||-0.9674614071846008||-0.9686517715454102||-0.9772212505340576||-0.9803345203399658||-0.9884411692619324||-0.9888849854469299||-0.9925153851509094||-0.9938814640045166||-0.9953703880310059||-0.9957128167152405||-0.9996233582496643||-1.0041074752807617||-1.0196783542633057
A1ZICRF3PTIHO6	4	animals monkeypig flying380	pretend grill gas cupboard barbecue||pretend grill summer seed barbecue||pretend grilltik kitchen512||pretend grill goodies lunch barbecue||pretend grill dining kitchen charcoal||vehicles airplane1.9 bitspart||animals puppet lovely authorized finger||pretend grill lunch picnic backyard||pretend grill barbecue anytime2018||animals puppetour dozenvel0||sports circuit snap periodic experiments||leaprogcou pal my||water stepwheel elevated boats||buildingploloserounded du||leaprog font groove musical0||pretend kitchen vintagematerial feast||mel food cuttingsliced fraction||doll baby bottles juice milk||baby fish corn 1957per||pretend grill patio coffee siding||dollbie townstory dream||mel food fontweightent||animalsani boots monkey192||pretend tea approved drink contain||doll loving grandhouse family||buildingplokeeper nurses arrived||game board28wirk82||building blocks fontweightent||mel puzzle chunk beneathpainted4||building le plate farms towns||baby laughquoonal quiz||pretend cookingpot lid stock||buildingplo du165 55||leaprog routine daily responses||animals plusrier76ffe||mel pretend bake slice cookies||dollbie vacationgla house||pretend medical doctorstescope||doll loving bathroom spa rug||set people camerascord cam||pretend cookingkett stewitate||animalsrora au washerflop||sports education bloclib5.2||animalsrora auflopsie5||animalsrora auflopsie4||mel magnetic magnet behaviors chart||dollbie barborganizies||mel magnetic magnet felt pretend||dollbie holiday 1989 2011||game board28 spot85	-0.4235403537750244||-0.7181981205940247||-0.7458807826042175||-0.7556324005126953||-0.7707633972167969||-0.8053052425384521||-0.8387594223022461||-0.8476864695549011||-0.8731489181518555||-0.8796537518501282||-0.8999523520469666||-0.9084451794624329||-0.912341296672821||-0.921646773815155||-0.9235219955444336||-0.9247583746910095||-0.9380022883415222||-0.941110372543335||-0.9511651396751404||-0.9618560671806335||-0.9698030948638916||-0.9749987721443176||-0.9788592457771301||-0.9821634888648987||-0.9838449954986572||-0.9838863015174866||-0.9863240718841553||-0.9881201386451721||-0.9939582943916321||-0.9989518523216248||-1.0003610849380493||-1.0008364915847778||-1.0133384466171265||-1.0139938592910767||-1.0197786092758179||-1.020342469215393||-1.02267587184906||-1.0269004106521606||-1.032309889793396||-1.0355219841003418||-1.0393956899642944||-1.0669360160827637||-1.067579746246338||-1.0750281810760498||-1.0754776000976562||-1.0794881582260132||-1.0840908288955688||-1.0927798748016357||-1.0948580503463745||-1.1032946109771729
APJVBWZN4T3E6	4	sports nano behave register robotic	sports nano behave register robotic||sportshat black chimneycylinder||building le25016605||sports nanobug batteryhe0||sports party glovesnet finger||sports light finger fingers led||loomband yards head feather||sportsarrow bow curve hunt||sports nanobug batteryhe1||loom bracelet band rainbow step||sports circuit snap periodic experiments||building le walkmania talk||game card humanity horrible against||sportsner ethical tagpho||sports lightliterite refill2||sports education bloc501plan||gameguin pirate barrel eventual||sports video party description brand4||loom bracelet neon144 jelly||loom bands siliconeetched 600||loom sunglasses shutter shade favor||building le plate farms towns||sportsbug react varyspeed||building le tomorrow brick650||water beach balls animal jungle||sports spygg google planet||sports light finger laser elastic||sportsarrowshot monkeyling||sports education bloc active monkey||sports educationgan women mor||sportsarrowquashot chicken||loom bands 1800clip silicone||sports lightsmith railwir||sports education bloclib5.2||sports lightliterite refill0||mel food fridge chilleddeciding||water beach sie info bag||building le platestudconstructing||doll tallicocal shops||pretend tea approved drink contain||sports spy invisible message darkness||melis ease caregiver art||sports lightsmith magicand||game board28wirk82||game board28 spot85||sports spy laser target strike||sports lightliterite refill1||action rangeura swordam||sports educationbedict harder||sports educationgan headlink	-0.6767681241035461||-0.6965848803520203||-0.7102639079093933||-0.7846991419792175||-0.7998873591423035||-0.82704097032547||-0.8347541689872742||-0.8363649845123291||-0.8366114497184753||-0.8464458584785461||-0.8806304335594177||-0.8848932385444641||-0.8867382407188416||-0.8994941115379333||-0.9051529765129089||-0.9079613089561462||-0.91037517786026||-0.9152160882949829||-0.916218101978302||-0.9229647517204285||-0.9238443970680237||-0.9260196089744568||-0.926072359085083||-0.9352781176567078||-0.9363493919372559||-0.9503726959228516||-0.9526012539863586||-0.9552668929100037||-0.9581887722015381||-0.9696983695030212||-0.9831802845001221||-0.9897361397743225||-0.9931426644325256||-0.9948816299438477||-0.9959210157394409||-1.000913381576538||-1.0028361082077026||-1.0075644254684448||-1.0076481103897095||-1.0082234144210815||-1.0104379653930664||-1.0107170343399048||-1.011137843132019||-1.0159658193588257||-1.017072081565857||-1.023267388343811||-1.0276240110397339||-1.0375992059707642||-1.04007887840271||-1.044661521911621
A2M6QCS3UAAGB2	4	mel sunny sprinklegru merit	leaprog font groove musical0||baby ballspin pop drop||baby stack blocks sort bucket||baby fish crawl ball move||baby stack classical plays 160||water stepwheel elevated boats||mel magnetic magnet felt pretend||baby leap english span counting||baby laugh house mailbox met||baby leap stops ball letter||babysko pop presse switches||baby fish redirectunlesszone||mel magnetic piano keyboard 54||baby puppy 1,5 wentcake||baby laughggy picomparing0||baby leap fontweightent||baby phone buttons auditoropen||building stackcali postates||baby fish stroll lend nurturing||mel magnetic magnet behaviors chart||wagon ridewalkerpurpose walk||set people medical doctor ordered||building stack eggs gently crack||baby pull aspect plan intellectual||baby fish corn 1957per||leap letter fontphonweight||mel magnetic3.2 choc conveniently||mel magnetic bowl straightforwardformerly||baby stackasta reflection sort||building blocks squeeze10ten||babytech laptop sort38||baby stackblockffegir||wagon step buggy ignition||melis ease caregiver art||baby ocean soothe glow sea||mel amp bugju multi||mel blocks opportunityconstructing laws||mel magnetic fishingdesigned artwork||vehicles truck dump61 15.||mel beads differentiation craftsmanship seller||baby ballsperorial busy||baby stack blocks179 smiling||baby leap rhyme nurseryturn||wagon radiofinder riding luxurious||mel puzzle knobmboju1||baby ballswinkel perennial ref||mel puzzle chunk beneathpainted4||mel puzzle knobmboju3||building stack2011pour peek||baby laugh sing opposite click	-0.4764564633369446||-0.5441040396690369||-0.6056691408157349||-0.6313750743865967||-0.6450470685958862||-0.7141392827033997||-0.7531649470329285||-0.7538408637046814||-0.7693319320678711||-0.7782809734344482||-0.7893319129943848||-0.7979766726493835||-0.7992945313453674||-0.8017873764038086||-0.8047109246253967||-0.8148751258850098||-0.8198280334472656||-0.8306391835212708||-0.8478844165802002||-0.8526485562324524||-0.856839656829834||-0.8602961897850037||-0.8818880915641785||-0.887033224105835||-0.8873522877693176||-0.887631893157959||-0.8966614603996277||-0.8983736634254456||-0.903677225112915||-0.909294605255127||-0.9148756861686707||-0.9151305556297302||-0.9183363318443298||-0.921391487121582||-0.9217846393585205||-0.9242200255393982||-0.9263257384300232||-0.9299706816673279||-0.934083878993988||-0.935293972492218||-0.9363952279090881||-0.9382112622261047||-0.9385424256324768||-0.9572051167488098||-0.9611380696296692||-0.9631327986717224||-0.9656575918197632||-0.965727686882019||-0.9708927273750305||-0.9820420742034912
