source_id,title,year,venue_or_status,primary_mechanism,span_factorized_role_attribution,role_disambiguated_intervention,overlap_with_lei,scope_effect
GRAM,"GRAM: Generative Recommendation via Semantic-aware Multi-granular Late Fusion",2025,"ACL Long Paper","Native lexical identifiers; coarse/fine late fusion; information linking; collaborative IDs",no,no,"Defines the exact architecture and reports aggregate w/o-linking ablation, but not subgroup or span-level counterfactual attribution","anchor; does not cover LEI diagnosis"
GLEN,"GLEN: Generative Retrieval via Lexical Index Learning",2023,"EMNLP Main","Dynamic lexical identifiers and collision-free inference",no,no,"Uses native lexical identifiers but studies indexing, ranking, and collisions","narrows lexical-ID novelty"
PAG,"Planning Ahead in Generative Retrieval: Guiding Autoregressive Generation through Simultaneous Decoding",2024,"arXiv preprint","Set-based lexical IDs plus sequential IDs and simultaneous decoding",no,no,"Combines lexical identifiers and decoding constraints, not prompt-role coupling","narrows identifier/decoding novelty"
DECOR,"Learning Decomposed Contextual Token Representations from Pretrained and Collaborative Signals for Generative Recommendation",2026,"SIGIR 2026 / arXiv 2509.10468","Decomposed semantic/collaborative embeddings and contextual token composition",no,no,"Closest intervention neighbor: context-dependent token representations, but for codebook tokens rather than GRAM input-link/output roles","substantially narrows intervention claim"
ActionPiece,"ActionPiece: Contextually Tokenizing Action Sequences for Generative Recommendation",2025,"arXiv preprint","Context-aware feature-token merging and set permutation regularization",no,no,"Shows fixed identical actions can be context-insensitive; redesigns tokenization rather than auditing GRAM spans","narrows context-aware tokenization claim"
DIGER,"Differentiable Semantic ID for Generative Recommendation",2026,"SIGIR 2026 / arXiv 2601.19711","Recommendation-aware differentiable semantic indexing with anti-collapse exploration",no,no,"Addresses tokenizer/recommender objective mismatch, not same-token input/output echo","narrows adaptive identifier claim"
TWM,"Token-Weighted Multi-Target Learning for Generative Recommenders with Curriculum Learning",2026,"arXiv preprint","Information-gain and frequency weighting of Semantic-ID target tokens",no,no,"Token-level optimization and tail effects, but only output loss weights","forbids generic token-weighting novelty"
Ghost,"Echoes in Filter Bubble: Diagnosing and Curing Popularity Bias in Generative Recommenders",2026,"arXiv preprint","Token-level popularity diagnosis; asymmetric unlikelihood; skeleton tokenization",no,no,"Diagnoses token optimization/popularity rather than prompt lexical echo","forbids popularity/token-bias novelty"
MHL,"From Past To Path: Masked History Learning for Next-Item Prediction in Generative Recommendation",2026,"ACL Long Paper","Entropy-guided history reconstruction and curriculum learning",no,no,"Manipulates history to learn deeper dependencies, not identifier-role spans","forbids first history-masking claim"
OneRecThink,"OneRec-Think: In-Text Reasoning for Generative Recommendation",2026,"ACL Long Paper","Reasoning over itemic histories with context pruning",no,no,"Studies history reasoning and pruning rather than lexical-link echo","narrows history-context claim"
RepeatNet,"RepeatNet: A Repeat Aware Neural Recommendation Machine for Session-Based Recommendation",2019,"AAAI","Explicit repeat-versus-explore recommendation and repeat-mode decoding",no,no,"Directly covers legitimate item repetition from history, not token-role pathology","forbids first repetition-bias claim"
CopyNet,"Incorporating Copying Mechanism in Sequence-to-Sequence Learning",2016,"ACL","Neural source-to-output token copying",no,no,"Establishes generic input-output copying as an intended mechanism","forbids generic copy novelty"
OverlapNLI,"Looking at the Overlooked: An Analysis on the Word-Overlap Bias in NLI",2022,"EMNLP Main","Lexical-overlap bias analysis outside recommendation",no,no,"Shows generic overlap bias exists, but not identifier roles or recommendation","supports transfer-only framing"
TermID,"Unleashing the Native Recommendation Potential: LLM-Based Generative Recommendation via Structured Term Identifiers",2026,"Findings of ACL","Native textual Term IDs and elastic identifier grounding",no,no,"Very close native-vocabulary identifier setting, but no multi-passage role attribution","narrows native-vocabulary novelty"
