idx	offset	gold	pred	scores
A226GFM0Q9L37H	3	stylingaxe3.2uff4647and	xxus225 youth renewal conditioner3.5||sunscreen simple 15, 474.2 protecting11||sunscreen boat bananazone sport cool127||xxuslix109 youth renewal rejuvenat||xxuslight31 conditioner 18.3.5||sunscreen pediatricediacotray childrenvis||scalp2.7 clear volum root conditioner boost||xxus 400 youth1.5 blow7.5||sunscreen boat banana1873.7 30, protection||acne fightingice biobleish stop||xxuslight shampoo3.54766||emmetreusing 65 shampooker38||scalp5.5 clear6166nourishing she||emmeschick256 disposable razor hydro||cream own listsrecognizable dichsisted entrepreneurial||shampooaxe reset460 scrub4.507||remove simple scrub wiperadi32 count||scalp2.9 clear06 shampoo23nourishing||cleansepond176 scrub exfoli64||creampond138luminous11 lotion1.7||heatemmetre platinum115 spray27||scalp tubes clear 7 intensive4627||scalp2.7 clear08 amp20nourishing||ironington flat96 inch 34 ceramic||scalp2.9 clear therapy shampoo2374||xx141us youth renewal71 shampoo||conditioner motion255 plus home2737||ve510 do bur23 go 14||bodyschick disposable razor hydro count||cleanse simple says goodnesstrust upset refreshing||remove simple scrubbalancing wipe23||scalp2.7 64 clear5.0 conditioner strong||bodyaxeapo shower6582ll||acne stripsporehead nose tackle tag||scalp2.7 clear total conditioner9629||remove simple pad count0.5 9 30||cleanse simple scrub4221 16.69||emmetrekeratusing conditioner93||subung cow kids2.5ve packaging||su mousseve kids cherry bo vanilla||sunscreentropicawa2.9 sportsan44||ironington flat inch7230ten||wrinkle hydrotonepm 70rink 33||lotion vase rescue0.3repairingline pump||ironington155 wide41 29 ceramic||dryerington5301.3 therapyker10||acne stripsporestrong cleansing bio witch||su rainforest150202ve2.5 conditioner||conditioner motion pennetjar deep 10||mirrorjerdon eurofold133 table	-0.2946600317955017||-0.3247133791446686||-0.3622489869594574||-0.4295068383216858||-0.43016692996025085||-0.4496876001358032||-0.45130935311317444||-0.4919312298297882||-0.49260276556015015||-0.4926953911781311||-0.49306726455688477||-0.5021432638168335||-0.5066575407981873||-0.5238876342773438||-0.5429680347442627||-0.544097363948822||-0.555558443069458||-0.5674476623535156||-0.5758334398269653||-0.5770698189735413||-0.5858616828918457||-0.5905516743659973||-0.5916391015052795||-0.5930237770080566||-0.5938460826873779||-0.5968804359436035||-0.6011667847633362||-0.607287585735321||-0.6100621223449707||-0.6126498579978943||-0.6221147179603577||-0.6256393194198608||-0.6358022689819336||-0.6397275328636169||-0.640939474105835||-0.6452152132987976||-0.6471238732337952||-0.6543934345245361||-0.6556455492973328||-0.6579340696334839||-0.6600963473320007||-0.6646510362625122||-0.6650487780570984||-0.6671485304832458||-0.6690965890884399||-0.6734583973884583||-0.6767553687095642||-0.6772145628929138||-0.680010199546814||-0.7256383895874023
A19ZHRE7P6R2WW	3	stylingbastian se foam 2009 recyclable	sunscreenphil cet10502 packaging vary||body ribbonlay advanced8387 18||lay roller205pens0.2 regeneraging||lay protocol wrinkle intensiveprox202 30,||laystructure rebuild regener structurecellular 25,||lay rehabilitationfinity immersion 14 recover stresses||iron heatedingtonstudio tour studio roller||wrinkle neutrogen fill reprink diminished||cream neutrogenrelease continuoushydr 29||primer melting night groundbreaking mis slidingoop||eye rapid neutrogen glucosereti stabilize||laysculpt regener36 21 micro1.7||mascaragirlblast320 cover tubefusion||lotion neutrogen157 soothing 15, ultra||panten2.608 34 shampoo 26||kk starter95 gloss 2215 kit||neutr sheets disturbingogen controlling sheettting1||eyerocillianifier beauce procedures||ve do comfort 3565 men clean||ironingtonstudio inch digital curl pearl||laynet total 15.93 effects 11.||layproxcount 2668 advanced system||lash envyder enhancementtime density night||body vasefusion sheer suspend strat layers0||cleanse neutrogenratates harnessifying||ironington technologies preferred ceramic repel celebrity||powdergirl primer cover 37lay simply||body vasefusion sheer suspend strat layers1||lay intensive firmprox regimen treatment kits||ironington tour dvd studio sleekmal||lay regenersurface regularspor skincare wake||layization minim therapiesrancefrag concerned||nail extension 350 guidebuy specialist desires||parnight codegenerating cooling youth tested||cleanse basis cleanergrass pollution clean wash||panten2.6 series renewal01 packaging||sunscreentropicawa2.9 sportsan44||wrinkle neutr rapidogenaccelerated targets tone||dryer technologiesington2012 tourmal angles||shampoosonsjohn babynzo chose appropriate||shampoo nouickpreserving living mediumve||tint gar miraclenier renewcombiningbene||air con rotating spinfini114 36||lay regener trio starter drastic beautifully injection||parrink necklift firm contourtim||wrinkle neutr uncover night correct concentratedogen||dryer haircut vacuumshortestterclip cartridge||ironington380 plates pearl wide inch||laysculpt 64 regener 11. micro1.7||ve smart detox hectic happens southernifying	-0.3029707670211792||-0.34759992361068726||-0.40289080142974854||-0.4032738208770752||-0.4335319995880127||-0.43805089592933655||-0.49636349081993103||-0.5297474265098572||-0.5345378518104553||-0.5483242869377136||-0.5497270226478577||-0.556884765625||-0.5656808614730835||-0.5694164633750916||-0.5710127353668213||-0.5822813510894775||-0.5906345844268799||-0.600468635559082||-0.6062427759170532||-0.6066359281539917||-0.6110126972198486||-0.6156152486801147||-0.6205939054489136||-0.6254794597625732||-0.6297591328620911||-0.6372319459915161||-0.6417251229286194||-0.6584997177124023||-0.6768539547920227||-0.6772181987762451||-0.6839266419410706||-0.6852938532829285||-0.6867382526397705||-0.6905853748321533||-0.6910234093666077||-0.697456955909729||-0.7061023712158203||-0.7107374668121338||-0.7108684182167053||-0.7156835794448853||-0.7176500558853149||-0.7192605137825012||-0.7205989956855774||-0.7241572141647339||-0.7287255525588989||-0.7296798825263977||-0.733748733997345||-0.7372391223907471||-0.7444618344306946||-0.7461974024772644
A36BHVA80D0OHU	3	eyevivitcute revitaliz1522.0	hair affirmguard sus fiberifying molecules||eyevivitcute revitaliz1522.0||shampoo batital bani skipping172||tint spe prote sheer fruit countbene||hairker miracle periodic demands respond otherwise||altern bambooken mis sustainable retentionboosting||emmeker6.4at maintenance plus105||bodyhutku sugar scrubawa tree||hair miracle280ancy vibrriz impart||needle rollerroll issues micro enterprises almost1||oil bio duck specialist gland neuefamily||layproxcount 2668 advanced system||butterhutzi branut tree neglected||cleansepha hydro sud fear foam wonderfully||cream collagenives timelesslast4677||cottonabstipcount 15.4636||lotionffeokke company hands working||soapunserv helpful chronic pre native1||opibor boring traffic pink stuck trip||mask claytecdianlbs secret river||xxustress 46hum5.5 14.||cleansing clar delicateletcolonic replacement||tree shop tea clearing communityble ones||brow eyebrow cake cooking complementary recipegra||bodyhut mango sugar tropical scrub tree||tree trade pepperupscaleting tea boutique||hairasta ultimerastcutelixke||tree foods gained recent popularity teaici||soapuk honey manfernturize||bodyhut sugar olive scrub she grains||ve oatmealoidalreveals coll active daily||mask masque shrink minthelpju queen||peellacticknown stimulation bear acid producing||serumur originalonic acid pure11||soapunserv helpful chronic pre native0||brow eyebrow maybe define pencilbull seamlessly||creamviv leilong per day immediate||wrinklereti philosophy nightreleasewinning released||ironingtonstudio inch digital curl pearl||mirrorjerdoninch nickel table vanity||evereekpaired conditioner remainszz fri||acne neutr micro scrubclesolvogen||mask masque clay simplified purddedman||everstrongifylor parhydrate system||par match true coordinate matches158 precisely||oil jos maranspurpose stickgan||airfini con securely hothottest salon||xxusphi strengthening rest31 conditioner||acneactiv 2.5 management mask pro solution||oiltikbur va da5.6 coconut	-0.35207539796829224||-0.36701610684394836||-0.4281270503997803||-0.44329848885536194||-0.5035091042518616||-0.5374794006347656||-0.5524905323982239||-0.6190714240074158||-0.6272040605545044||-0.6339654326438904||-0.6349597573280334||-0.6406700611114502||-0.6592618823051453||-0.6793181300163269||-0.6919838786125183||-0.7110188603401184||-0.7127135992050171||-0.7137511968612671||-0.7326351404190063||-0.7375432252883911||-0.7393701672554016||-0.7406801581382751||-0.7410858869552612||-0.7448801398277283||-0.7539842128753662||-0.7616598606109619||-0.7624634504318237||-0.7630219459533691||-0.768056333065033||-0.7743241786956787||-0.7787906527519226||-0.785722553730011||-0.7914189100265503||-0.7919917106628418||-0.8098825812339783||-0.8117820620536804||-0.8166374564170837||-0.8175974488258362||-0.8244355916976929||-0.8246809840202332||-0.8254473209381104||-0.8281500935554504||-0.8323887586593628||-0.835499107837677||-0.8371118903160095||-0.8400223255157471||-0.8415154218673706||-0.8423795104026794||-0.8444042801856995||-0.8623365759849548
A1A7U8OF2UR6WL	3	butter shepound commercialghan endless method	primerenlargedinfused canvas117 mineralpurpose||wigmannquiholder head constructed outlet||brushes techniquesak realpixelmantech5||brushes4.1 disinfect debristraces provide application||shadowshadow eye 34 piece palette17||lashes pairspit faketrimmed falselash||primer mis staying invisible 2.0boosting running||wigmannqui displayofamgie||brushes techniquesak realpixelmantech4||brushes196 acrosssculpt sweep translucent expert||haircha treatment lackhome universal state||lashled curl angleslashes swipe cur||brushes coastal260 scent 34 piece55||line pencil beanmbo 1989juliners||brushes sponge regrethey picking puff comes||conditionercha pumpkin gingeran 35 we||primer powder definition looseelf focus artist||brow eyebrow cake cooking complementary recipegra||blush mama poidsbal puts sunny magnetic||conditioner mint almond sweetcha necessary herbs||lipstick 36 gloss round doll lip ma||mascara maybedoublingbuildinglashglob waterproof||wig model shouldday cool capkindly0||nailtting marble pendicure2.1||brushes spongecker mall holes4.3 sud||primershadow750lidproofcrease 1.5||brow arch stencil structured eyebrowaccentuatecurved||lashes pairs femininelash2.6 eyeenhancing||stylingcha bal separation text po finishing||dark erase circles concealwind0.2hal||brushes techniques real blush 50ators98||brushes spongerado regret picking puff unknown||dark erase130 circles maybewind conceal||conditionercha lavenderan1.5 we cleansing||lips quartz sensation lip maybe410 nec||mascara maybedoublingbuildinglashglobline||stylingchahold poti instead crtreated||iron flationalffe aside straighttransforming||lashes pairs monster bundle false revamp 70||wig loc breathenables hidelace caps||lashes fish tail ladieslash stainless steel||brushes techniquesak realpixelmantech0||layproxcount 2668 advanced system||brushes techniquesak realpixelmantech3||primershadow sheer mineralserv 38 key||powdergirl cover ivory foundation fabulouslast||brushesender spongedrop places fool sued||wig model shouldday cool capkindly1||brushes techniques real core 52ators collection||primer setting matte finish lasting cosmetic31	-0.35345539450645447||-0.35542795062065125||-0.4516843259334564||-0.4588800072669983||-0.4669016897678375||-0.4888792335987091||-0.49062785506248474||-0.5397019982337952||-0.5509654879570007||-0.5868296027183533||-0.5917647480964661||-0.5996355414390564||-0.6002252697944641||-0.6344754099845886||-0.6347846984863281||-0.6379752159118652||-0.6439800262451172||-0.6668384671211243||-0.7043836712837219||-0.7099990844726562||-0.7123347520828247||-0.7140921354293823||-0.7209099531173706||-0.7236534953117371||-0.7317636609077454||-0.7330276966094971||-0.7351546883583069||-0.7415255308151245||-0.7421877384185791||-0.7490879893302917||-0.7508475184440613||-0.7589226365089417||-0.759027361869812||-0.7615863084793091||-0.765288233757019||-0.7688167095184326||-0.7690896987915039||-0.7699645757675171||-0.7705813050270081||-0.7738251090049744||-0.7742925882339478||-0.776098370552063||-0.7784222364425659||-0.7791597843170166||-0.7807936668395996||-0.7811787128448486||-0.7843940258026123||-0.7909815311431885||-0.793811559677124||-0.7990446090698242
A14SPSO3JNIBB0	3	mask queenlene masque340 mintju	men cent190 power1.7 50 spray||smellung 1988red toilette scent spice||mask claytecdianlbs secret river||smellyakisse mi 1994 notes spice||scalp neutrogenitch4.4gel stubborn||menccigu guilty opens woodlette||mask queenlene 1930 unnecessary nurture safer1||smellcostpidusted 1987 la||smellccigu guilty 2.5 toiletteeau||smellgler muierlons 1992ry||mengio armaninuancestellerie||layproxcount 2668 advanced system||smellgio accordqua 2010, aquatic di||acne neutr micro scrubclesolvogen||scalpici interfere temporarily greasebor max||smell kleinvin eternitycal 1988 parfum||ironingtonstudio inch digital curl pearl||smellwang ver princess toiletteeau scent||body palmmatetes ce characteristics penetration||smell gabbance tobacco 1994 toilette||acne strips noseporepul178 cleansing||smelllton hilang frozen par 2005||men gabbance toilette do casual||ve relief hand glove ordinaryense washing||smell gabbance capturedhommeality||smellberry bur3.3 men scent toilette||smellgarcrystallineomniashiari bulg||smellelliry per toilette affect 360||hair miracle stops protector 10 things controls||body hemp herbal seed sources extract pure||men gabbanicismce acceptance toilette||smellgar affect scent aqua fragrance toilette||smellkenn col 2003 toiletteth spice||menchristdigier augger 2010||cream collagenives timelesslast4677||smell chopardlonsmir 1991 cas||oil bio duck specialist gland neuefamily||smelljeantier ga paul 1995||smelllton hilement parnectrine||soapbian heritage papa nu coconut bar||smell gabbance 20011.6 apple||smellnautica voyage toilette affect men||smellgio armani parfum codeeau||smell klein contradictionvincal 1998veti||ve do comfort 3565 men clean||smellney spearbri fantasy scent women||cleansephil cet42 bottles 26 23||mask queenlene 1930 unnecessary nurture safer0||body palm marks stretch butter coco250||lotionphil cet chronicbindngolin	-0.34078726172447205||-0.5242528915405273||-0.5792558789253235||-0.5954866409301758||-0.5963648557662964||-0.5982450246810913||-0.6024688482284546||-0.6123459339141846||-0.6185275912284851||-0.6316159963607788||-0.6329073905944824||-0.6348732709884644||-0.638700544834137||-0.6433699727058411||-0.6474941372871399||-0.6481764912605286||-0.6499860286712646||-0.6518833637237549||-0.6764250993728638||-0.6826086044311523||-0.6852568984031677||-0.6864368915557861||-0.6923096776008606||-0.6929502487182617||-0.6953027844429016||-0.6955931782722473||-0.696659505367279||-0.696927547454834||-0.7028249502182007||-0.7050430178642273||-0.7134714722633362||-0.7138339877128601||-0.7245480418205261||-0.7344418168067932||-0.7391997575759888||-0.7445552945137024||-0.7459572553634644||-0.7472391724586487||-0.7502835392951965||-0.7528730034828186||-0.7557936310768127||-0.758520781993866||-0.7593696117401123||-0.7676700949668884||-0.7811257839202881||-0.7886973023414612||-0.7903823852539062||-0.7906064391136169||-0.7906326651573181||-0.7975208759307861
A3QNQQKJTL76H0	3	stylingaxe2803.2 54 cut gel	vecare do 6069 men sensitive||stylingaxe2803.2 54 cut gel||bodyaxe5.072 boost38 17||ve145carehave do8209||bodyaxe chilled cooling post3.3have||shampooaxe reset460 scrub4.507||su mousseve kids cherry bo vanilla||bodyaxe233 space shower6789||vepir2.7perscare do silver||2.9 scalpuff clear comfort7153||bodyaxeapo shower6582ll||emmetre188using3.3 serum62||scalp5.5 clear6166nourishing she||sunscreen simple 15, 474.2 protecting11||emmetreusing 65 shampooker38||emmeschick256 disposable razor hydro||conditioner motion pennetjar deep 10||conditioner motion255 plus home2737||heatemmetre platinum115 spray27||shampoove7.2 do67 sets repair||acne fightingice biobleish stop||conditionerve do2449 7 daily||acne rapidil wipego clear 30||remove simple scrubbalancing wipe23||acne stripsporestrong cleansing bio witch||mirrorjerdon eurofold133 table||scalp tubes clear 7 intensive4627||bodyschick disposable razor hydro count||xxuslight31 conditioner 18.3.5||stylingington haircutstruct167 virtuallyible||subung cow kids2.5ve packaging||xxuslight shampoo3.54766||cleanse thinking dichsisted entrepreneurialrecognizable lists||xxus 400 youth1.5 blow7.5||emmetrekeratusing conditioner93||ve1046.5care do lotion88||creampond138luminous11 lotion1.7||soapsol orchid foamcounter pump vanilla||su blast oceanve kids9193||shampoo motion404 5209 naturally 8.||acne rapidshing 600vaniil clear||sunscreen boat bananazone sport cool127||su620 professionalsvefusionocc mor||cleanse simple says goodnesstrust upset refreshing||scalp2.9 clear therapy shampoo2374||cleanse bio steamopen deeply locking beads||lotion vase rescue0.3repairingline pump||cleansebalancing bioans combination forms||styling motion foam mousse pump wrap 33||sunscreen pediatricediacotray childrenvis	-0.22803466022014618||-0.2911641001701355||-0.3196777105331421||-0.349213182926178||-0.3664671778678894||-0.3733065128326416||-0.38530969619750977||-0.38568609952926636||-0.4758129417896271||-0.5034258365631104||-0.506543755531311||-0.5351152420043945||-0.5462079048156738||-0.5471493005752563||-0.550354540348053||-0.5727840662002563||-0.581018328666687||-0.6030423045158386||-0.6036593914031982||-0.6132328510284424||-0.6169896125793457||-0.6240976452827454||-0.6252574920654297||-0.6283432245254517||-0.6548036336898804||-0.6701712608337402||-0.676417350769043||-0.6769611835479736||-0.6829550266265869||-0.6833444833755493||-0.6951436400413513||-0.6995031833648682||-0.7017389535903931||-0.7045314311981201||-0.7067099213600159||-0.7085610628128052||-0.7110979557037354||-0.7112625241279602||-0.7136066555976868||-0.7164292335510254||-0.7191125750541687||-0.7285541892051697||-0.7292712330818176||-0.7396196126937866||-0.7438241839408875||-0.7480269074440002||-0.7480558753013611||-0.7540111541748047||-0.7550755739212036||-0.7552952766418457
A2D7IHQGEBIDNG	3	darkoji prescribed soap trusted spots frec0	mask ricehoff foodfocusingavoiding mouth||nertude house outside107 500 controls||brushes pouch leatherany sh studio badge||brushes pouchanypiece sh set animal||ponybett processing da capsanna6.1||clips duck bill purpose stainless steel 12||needle rollerroll issues micro enterprises almost1||lipstick slim pencil lip duplicate840lly||clipssortedzen clamp butterfly package section||band hollow head rose bon band pride||lashes pairspit faketrimmed falselash||pinwigpindian990401 silver||wig map costumeauplayofbe||layproxcount 2668 advanced system||shadow tattoo darcityked longest maybe||blush mama poidsbal puts sunny magnetic||primerrid intens maximize vivid shadow helps||wig loc breathenables hidelace caps||lineproofudge sweatresistant combat tears1||creamikahol petit166 30 pa||bandnite bonne sleep satin stay 600||lashes pairs femininelash2.6 eyeenhancing||cleansing thread gone fu unwanted epi woman||mask diary adequatepon my resilience ocean||shadow glitter pallet recreate piece palette trip||clips cutter4.6ink scissorsdian53||clipsbothcock gemgreat bondial||brush den heavyman rowstatic187||tree foods gained recent popularity teaici||primer conceal cakedonclu heavy4.0||brushes techniquesak realpixelmantech4||brushes techniquesak realpixelmantech3||brushes coastal260 scent 34 piece55||cream miniature79 bal functional functions set||line drama eggplant studio6, lasting maybe||clipsanna maring 80rust sturdy||dryer tourmalski rev bumper speed||pony caps processingdian coloringlarge foil||wig map lolauplayof party||lashesellardlash dem fashion adhesive1||wig model shouldday cool capkindly0||darkoji venture avail prescribed soapvi||powdergirl cover ivory foundation fabulouslast||band bon pictureart stylish street listing||band bon angel beads pictureartwing||wig map lol costumeauplay ban||brow eyebrow cake cooking complementary recipegra||wig mapau ladies genderof costume||lineproofudge sweatresistant combat tears0||brushes techniquesak realpixelmantech0	-0.4364542067050934||-0.44384828209877014||-0.5015577673912048||-0.5627920627593994||-0.5870703458786011||-0.6080244779586792||-0.6211481690406799||-0.6303689479827881||-0.6422412991523743||-0.6640441417694092||-0.6691303849220276||-0.6706229448318481||-0.6797534227371216||-0.6808722019195557||-0.6830494999885559||-0.6858599185943604||-0.6890792846679688||-0.696250855922699||-0.7014095783233643||-0.7017974257469177||-0.7041589021682739||-0.7054370641708374||-0.7126468420028687||-0.7176334261894226||-0.7193960547447205||-0.7204793095588684||-0.7225737571716309||-0.7257458567619324||-0.7286607027053833||-0.729958713054657||-0.7317762970924377||-0.738798201084137||-0.7417630553245544||-0.7536896467208862||-0.7563826441764832||-0.7584637999534607||-0.7591951489448547||-0.7632430195808411||-0.7703708410263062||-0.7715203762054443||-0.7720280885696411||-0.7776140570640564||-0.7796333432197571||-0.7828497886657715||-0.7840747237205505||-0.7846810221672058||-0.7911627888679504||-0.8041018843650818||-0.8275167942047119||-0.8295016884803772
A3KDZA2MRC39CG	3	su verb2.5ve almond shampoo67	remove169 simple 19ettes wipe cloth||wrinkle hydrotonepm 70rink 33||ve510 do bur23 go 14||panten aged 54 expert conditioner85||cleansepond101luminous68 2. clean||ve1861.5 do79nourishing sensitive||removeettes towel renewable bioremoving189||removepond 2020ettes towelcount cloth||mascara crusher 1966girl 800blast cover||lay978 tint 2.5 sunscreen effects medium||lotion vase rescue0.3repairingline pump||vegrav cre mousse do1.0me||remove simple pad count0.5 9 30||tint hydrotone stands flatter acts multiple||xxuslight shampoo3.54766||creampond138luminous11 lotion1.7||remove simple scrub wiperadi32 count||remove clothgrabbing bio dirt grimpore||cleansepond176 scrub exfoli64||emmeschick256 disposable razor hydro||wrinkle hydrotone 37rink intensive05||ve350 soapbal 120 do bar||cream own listsrecognizable dichsisted entrepreneurial||bodyschick disposable razor hydro count||soapsol orchid foamcounter pump vanilla||pan3.2ten10.1 aged 42 expert||bodyaxe5.072 boost38 17||emmetreusing 65 shampooker38||xxus 400 youth1.5 blow7.5||lips autumnhaz bur gloss lip smile||conditioner motion255 plus home2737||su rainforest150202ve2.5 conditioner||wrinkleinho pleasur hotels spa whatever||subung cow kids2.5ve packaging||vecare doifying318279||body vase0.3line total coco 17.||acne stripspore crave978 cleansing bio||gan suocc mor404 professionalsve||mirrorjerdon eurofold133 table||bodyaxewash plus total11 shampoo||su rainforestve2.590 shampoo98||creaminho luxe pleasur hotels spa||lay night9.5freeyinglog dye||xxuslix109 youth renewal rejuvenat||xxus2255.5light foam77||shampooaxeapo81 15. plus45||panten aged4.2 expert0663||sunscreen simple 15, 474.2 protecting11||creaminho pleasur hotels spawinning||su professionalsvefusionocc mor shampoo	-0.22819417715072632||-0.3617275655269623||-0.3891090452671051||-0.39377614855766296||-0.41488662362098694||-0.43693429231643677||-0.448091596364975||-0.4780122935771942||-0.51152104139328||-0.5268951058387756||-0.5315458178520203||-0.5366854667663574||-0.5449742078781128||-0.5603395700454712||-0.5734511017799377||-0.5740513801574707||-0.5783297419548035||-0.5822108387947083||-0.5894540548324585||-0.6012318730354309||-0.6026408672332764||-0.6034369468688965||-0.6041629910469055||-0.6077528595924377||-0.6093046069145203||-0.61025071144104||-0.6146064400672913||-0.6164765357971191||-0.6241533756256104||-0.6301990747451782||-0.6312963366508484||-0.640824556350708||-0.6476448774337769||-0.6496215462684631||-0.6501126885414124||-0.6541858315467834||-0.6563563346862793||-0.656726598739624||-0.6583328247070312||-0.6610250473022461||-0.6661183834075928||-0.6665493845939636||-0.6701079607009888||-0.6703707575798035||-0.6729313731193542||-0.6755252480506897||-0.6764299273490906||-0.6787888407707214||-0.6806546449661255||-0.7165630459785461
A20ZY997PIJ7Q5	3	wrinklereti50,000watt counter per young	oil hemp marvelousutty nutritional recipesgenerative||lossrahm massdikdic scalpkol||hairkencatibonddelirul inter||losstropic jam growth castzzycan||brow eyebrow cake cooking complementary recipegra||curlvineachi da124 lovelyavy||soap africaguru found composedreferred abundant||soap africaghan bulk bumpthere press0||browfro eyebrow covering184 gode||needle rollerroll issues micro enterprises almost1||mask claytecdianlbs secret river||lossrajtique growth bio therapeuticring||soapunserv helpful chronic pre native1||brow wax impeccable eyebrow shaperulches||loss rolesynthesis regulatory bio foods alongside||lossrahmla am herbal trusted penetration||buttercovetedaki africa she arthritis pregnancy||brow eyebrow maybe define pencilbull seamlessly||brow came eyebrow 33 perfect buy68||butter shepound commercialghan endless method||eye coffeewho circlesrant swelling alleviat||soap africaghan bulk bumpthere press1||brow arch stencil structured eyebrowaccentuatecurved||brownren gar grey stick touch cover||brow arch eyebrow side defines complementak||brush den heavyman rowstatic187||cleansealaya him host painful zi trio||brow fantasy rev1091041.8 steps||peelicy sal quicker acidsoluble breaks0||soapunserv helpful chronic pre native0||brow eyebrow pencil guarantees beanches auto||lossfinity nutritionaltransforming capsule supplementils||nerterra este rose swiftstringcul||tree shop tea clearing communityble ones||butter remarks raw familiar she microwave lump||brow dollar billion jumpuckedstart growth||butterhutzi branut tree neglected||soaplik papa enzyme herbsidad herbal||glycopha diligent hydrolong al percent||brow assets highlight eyebrow pencil captivating und||brow model eyebrow frame bottle seal expression||brushvia gardenoli paddle combo br||browasia checking gaps pencil mechanicaleze||wrinklereti50,000watt counter per young||treeson pleasure choicesfor jamy||browell7.3ard0.2sculpt109||butter foods she roughphospho knee elbow||needle roller regeneration reliableroll cell micro||nerhay witchzel hatal ver||brushes techniquesak realpixelmantech4	-0.2703136205673218||-0.32711341977119446||-0.3560829758644104||-0.3958776295185089||-0.5028328895568848||-0.5054704546928406||-0.547247588634491||-0.5508859157562256||-0.5666967034339905||-0.5969513654708862||-0.6119216680526733||-0.6284136176109314||-0.628648579120636||-0.646298348903656||-0.6602155566215515||-0.6621891260147095||-0.6638551354408264||-0.6868236064910889||-0.6934735774993896||-0.6949361562728882||-0.7025474905967712||-0.7111918926239014||-0.7112526893615723||-0.7129513025283813||-0.7170506119728088||-0.7213351130485535||-0.7220518589019775||-0.7287746071815491||-0.7320139408111572||-0.736936092376709||-0.7444489598274231||-0.7480436563491821||-0.7501535415649414||-0.7505362033843994||-0.7512189745903015||-0.7542611956596375||-0.7579755783081055||-0.7586811780929565||-0.7616309523582458||-0.7660354375839233||-0.7701366543769836||-0.7717429995536804||-0.7726324200630188||-0.7821853160858154||-0.7859976291656494||-0.789882481098175||-0.791563868522644||-0.7973657846450806||-0.8021669387817383||-0.8094789981842041
A197O1VYM9B8A3	3	hairpuawa pa mitkerche	hairpuawa pa mitkerche||ironingtonstudio inch digital curl pearl||styling pa mitpu gingercheawa||shampoo mit pache swimmingll0.1||shampoosonsjohn babynzo chose appropriate||dryerair con foldingfini4.5 performance||sunscreencotinteinduced elegance physical sun||stylingaxespi glueking hold3.2||conditioner thickson 1959 path meticulous ja||fried colour frei redjohn magnif addresses||shampoo nouickpreserving living mediumve||wrinkle neutrogen fill reprink diminished||ironington380 plates pearl wide inch||dryer2015ingtonstudio pearl ceramic 28||cleanse image environmentallyhydrat treats vital 17.||lash envyder enhancementtime density night||eye rapid neutrogen glucosereti stabilize||cleansing wave neutrogen spinningonic speeds||cleanse simple 1200131 14. wash||layproxcount 2668 advanced system||ve smart detox hectic happens southernifying||styling style piece set208set bottle||pan5.4ten123 packaging vary shampoo||shampooson 1959 path meticulous ja spirit||acneil280 clear 17.78 ultra||air con rotating spinfini114 36||scalp1132.9 clear volum root boost||pan5.4ten 75 packaging vary conditioner||remove0.9176 simpleettes wipe cloth||removepond 2020ettes towelcount cloth||powdergirl primer cover 37lay simply||dryerroom man4304.080 23||styling skinny pa mitchestrict spend||sunscreentropicawa2.9 sportsan44||iron splitting platesington ceramic therapy flat||scalp2.7 clear total conditioner9629||scalp2.7 clear volum root conditioner boost||scalp8502.9 clear shampoo46 amp||kk starter95 gloss 2215 kit||parnight codegenerating cooling youth tested||mascaragirlblast320 cover tubefusion||acneil133 mask clear marks78||cleanse neutrogenratates harnessifying||dryer turboington fanwatt dual41||styling style designer salon spray 16 bottle||bodyive1.03.51023 50||styling crew american fiber molding contemporarysculpt||scalp2.7 clear08 amp20nourishing||shampoo mit pache120 twoll||cottonabstip precision70 tips count	-0.3216131031513214||-0.38012510538101196||-0.389310747385025||-0.46887460350990295||-0.4807640016078949||-0.48902279138565063||-0.5169568657875061||-0.5253133177757263||-0.54230797290802||-0.5498842597007751||-0.5506035089492798||-0.5527263879776001||-0.5634068250656128||-0.5669034123420715||-0.5681617259979248||-0.5790650844573975||-0.5908460021018982||-0.6149292588233948||-0.6228652596473694||-0.627558708190918||-0.6349077820777893||-0.6360225081443787||-0.6410543322563171||-0.6459223031997681||-0.64793461561203||-0.6489076614379883||-0.6535463929176331||-0.6636216044425964||-0.6677775979042053||-0.6698349118232727||-0.6876024603843689||-0.6890702843666077||-0.6953174471855164||-0.6995109915733337||-0.701252818107605||-0.7076935768127441||-0.7100083827972412||-0.7153071761131287||-0.7168441414833069||-0.7177531123161316||-0.7181024551391602||-0.7226088047027588||-0.7252919673919678||-0.726129949092865||-0.727782130241394||-0.7284428477287292||-0.7427606582641602||-0.7439646124839783||-0.746549129486084||-0.7473938465118408
