source_id,title,year,venue_or_status,primary_mechanism,within_item_field_displacement,fixed_budget_fixed_cf_identification,target_free_field_allocator,overlap_with_cpbd,scope_effect
GRAM,"GRAM: Generative Recommendation via Semantic-aware Multi-granular Late Fusion",2025,"ACL Long Paper","Native lexical IDs; collaborative verbalization; multi-granular late fusion",no,no,no,"Defines the exact serialization family and reports top-k sensitivity/noise, but not metadata displaced by a front collaborative field under hard truncation","architectural anchor; forbids claiming similar-item noise or top-k tuning as new"
LBR,"Towards Mitigating Length Bias in LLMs for Recommendation",2026,"arXiv preprint 2607.04270","Input attention length bias; output scoring length bias; length-aware calibration",no,no,no,"Closest recommendation length-bias neighbor; equal-length truncation/padding does not isolate ordered fields inside one GRAM passage","forbids generic recommendation length-bias novelty"
LLMLingua,"LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models",2023,"EMNLP Main","Coarse-to-fine prompt compression with a budget controller",no,no,no,"Allocates a generic prompt budget and removes low-information tokens","forbids generic prompt-budget/compression novelty"
LongLLMLingua,"LongLLMLingua: Accelerating and Enhancing LLMs in Long Context Scenarios via Prompt Compression",2024,"ACL Long Paper","Question-aware compression; document reordering; dynamic compression ratios",no,no,no,"Covers position-aware long-context compression and reordering outside recommendation","forbids generic reordering/dynamic compression novelty"
LLMLingua2,"LLMLingua-2: Data Distillation for Efficient and Faithful Task-Agnostic Prompt Compression",2024,"Findings of ACL","Bidirectional token-classification compression learned from distilled labels",no,no,no,"Covers learned token selection under a compression objective, but not GRAM fields or fixed-CF causal diagnosis","forbids task-agnostic learned token compression novelty"
PromptRD,"Fundamental Limits of Prompt Compression: A Rate-Distortion Framework",2024,"NeurIPS","Rate-distortion analysis and query-aware variable-rate compression",no,no,no,"Formalizes generic prompt-budget tradeoffs","forbids rate-distortion or variable-rate compression novelty"
RECOMP,"RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation",2023,"arXiv preprint 2310.04408","Extractive/abstractive compression of retrieved documents; selective augmentation",no,no,no,"Compresses retrieved evidence, not collaborative and metadata fields inside an item passage","transfer only"
RFiD,"Improving Retrieval-Augmented Language Model with Self-Reasoning",2023,"Findings of ACL","Passage relevance guidance and robust evidence fusion",no,no,no,"Closest FiD evidence-quality neighbor; studies passage evidence rather than within-passage budget displacement","forbids generic FiD evidence attribution novelty"
MGFiD,"MGFiD: Multi-Granularity Guided Fusion-in-Decoder",2024,"Findings of NAACL","Passage reranking; sentence classification; passage pruning",no,no,no,"Allocates/prunes FiD evidence at passage/sentence granularity, not GRAM item fields","forbids generic evidence pruning novelty"
FiDO,"FiDO: Fusion-in-Decoder optimized for stronger performance and faster inference",2023,"Findings of ACL","Architecture and cross-attention efficiency for FiD",no,no,no,"Addresses computation rather than field content entering a hard-limited passage","background only"
ReLLa,"ReLLa: Retrieval-enhanced Large Language Models for Lifelong Sequential Behavior Comprehension in Recommendation",2023,"arXiv preprint 2308.11131","Semantic retrieval of relevant user behaviors",no,no,no,"Selects history behaviors, not collaborative/metadata tokens within an item representation","forbids generic retrieval-based context selection novelty"
ReLLaX,"ReLLaX: Learning to Retrieve Long-Term User Behaviors for Large Language Model-based Recommendation",2025,"arXiv preprint 2501.13344","Behavior retrieval; soft prompts; collaborative fine-tuning",no,no,no,"Combines retrieval and collaborative signals but does not diagnose GRAM field truncation","narrows collaborative-context selection claim"
MSL,"MSL: Not All Tokens Are What You Need for Tuning LLM as a Recommender",2025,"SIGIR","Masked softmax loss and adaptive temperature for invalid output description tokens",no,no,no,"Recommendation-specific token selection is on the training loss/output side, not input serialization","forbids broad 'not all recommendation tokens matter' claim"
ILLMRec,"Token-Efficient Item Representation via Images for LLM Recommender Systems",2026,"ICLR Poster","Replaces lengthy text descriptions with image-based item representation",no,no,no,"Directly targets token-efficient item representation, but changes modality instead of reallocating GRAM collaborative/metadata fields","forbids token-efficient item representation novelty"
VarLenRec,"Learning Variable-Length Tokenization for Generative Recommendation",2026,"arXiv preprint 2605.17779","Popularity-aware variable-length output Semantic IDs",no,no,no,"Allocates output identifier length rather than input item-prompt fields","forbids generic adaptive token-budget novelty"
TWM,"Token-Weighted Multi-Target Learning for Generative Recommenders with Curriculum Learning",2026,"arXiv preprint 2601.17787","Information-gain and frequency weighting of output Semantic-ID tokens",no,no,no,"Token importance is applied to output loss, not input-field visibility","forbids token-importance novelty"
DynamicRetrieval,"Know Before You Fetch: Adaptive Retrieval Budget Allocation for RAG",2026,"arXiv preprint 2606.29959","Query-dependent retrieval-count allocation",no,no,no,"Covers adaptive retrieval budgets but not per-item collaborative/metadata allocation in GRAM","forbids generic adaptive retrieval-budget novelty"
